aanbevelen|recommend
gordijn|curtain
graag hebben, houden van|like, love
gracht|canal
grenzen|border
grijs|grey
groei|growth
groen|green
groot|big
groot/groter/groost|big/bigger/the biggest
groter|bigger
haar boek|her book
haar|hair
haar|hair, her
haar|her
had|had
half|half
half negen|at half past eight
hallo|hello, hi
hallo|hi
handboeien|handcuffs
handenardbeid|manual work
hand|hand
handig|handy, skillful
handset|phone handset
hard|hard, fast, loud
haten|hate
hebben|have
hebben|to have
heelal|universe
heel|very
heel|whole; very
helemaal|completely, all the way
helemaal niet|not at all
hele|whole
helpen|to help
helper|helper
hemd|shirt
hem|him
herinnerde|remembered
herinneren ann|remind of
Het is twee urr.|It is two o'clock.
het|it
Het spijt me.|I am sorry.
het spijt mij|I'm sorry
het verklaart heel veel|it explains a lot
hetzelfde|the same
hetzelfde|the same thing
Hey!|Hey!
hield van|loved
hiel|heel
hier|here
hier is|here is
hij|he
Hij heeft een boek.|He has a book.
hij schaamt zich|he is ashamed
hij/zij heeft|he/she/it has
hoed|hat
hoe|how
Hoe komt het dat...?|How is it that...?; How come...?
hoest|cough
hoeveel|how many, how much
Hoe vind je...?|What do you think of...?
hond|dog
honderd|hundred
honger|hunger
honger|hungry
hongerig|hungry
hoofd, centraal|central
hoofd|head
hoog|high
hoop|hope
hoorde|heard
horloge|watch
hotel|hotel
hotels|hotels
houden|to hold
houden van|like, love
huilen|cry, cried
huisdier|pet
huis|home
huis|house
huiswerk|homework
hulp|help
hun|their
idee|idea
iedereen|everybody
iedereen|everyone
iemand|somebody
iemand|someone
iets|anything, something
iets|something, anything
ijs|ice cream
Ik eet liever...; Ik eet graag...|I prefer to eat...; I like to eat...
Ik ga naar de bank.|I go to the bank.
Ik heb honger.|I am hungry.
Ik heb trek in een kopje thee.|I feel like a cup of tea.
ik|I
Ik kan lezen.|I can read.
Ik luister naar muziek.|I listen to music.
Ik moet gaan.|I must go.
Ik nam...|I took...
Ik verdien 10 euro per uur.|I earn 10 euro per hour.
Ik vind date leuk.|I like that.
Ik vind het niet erg.|I don't mind.
Ik week dat dit boek interessant is.|I know that this book is interesting.
ik wist dat helemaal niet|I did not know that at all
inbraak, overal|robbery
in de plaats|instead
individueel|individually
ineens|suddenly
informatie|information
informeert|informed
informeren|inform
ingang|entrance
ingenieur|engineer
in ieder|anyway, at any rate
in|in
in|in, into
in plaats van|instead of
in plaats van jou|instead of you
inschakelen|switched on
interessant|interesting
interessant|intersting
jaar|year
jakend|howling
jammer|pity
jas|jacket
jawel|oh yes, yes indeed
ja|yes
jazeker|hell yes
je, jij|you
jij, je|you
jongen|boy
jongen|boy, guy
jong|young
journalist|journalist
jouw|your
juffrouw|Miss
juf|teacher
kaal|bald
kaart|map
kabel|cable
kamer/kamers|room
kamer|room
kamers|rooms
kampen met stress|suffer from stress
kangoeroe|kangaroo
kans|chance
kantoor|office
kapitein|captain
kassa|cash register
kassier|cashier, teller
kat|cat
kat|cat, kitten
keek|looked
kennen|know, be acquanted with
kennen|to know
ketel|kettle
keuken|kitchen
kieskeurig|choosy, fussy
kiezen|choose
kijken|see
kijken|to look
kilometer|kilometer
kind|child
kinderen|children
klaar|finished, ready
klaar|ready
klant|customer
klas|class
klaslokaal|classroom
kleding|clothes
klein|little
klein|little, small
klein|small
kleren, kleding|clothes
kleuterschool|kindergarten
klinken|sound
kloppen|knock; be right, be correct
kluis|safe
knoop|button
koffer|suitcase
koffie|coffee
koffiemachine|coffee machine
koffiemachine|coffee-maker
koken|cooking
komen/gaan|come/go
kon|could
koos|choose
kopen|buy
kort|short
kosten|cost
koud|cold
koud|cold (adj)
koude|coldness
kraan|tap
krant|newspaper
krijgen|get (something)
krijgen|get, take
krijgen|receive, get
krijgen|to get
kristal|crystal
kruik|jar
kunnen|can
kunst|art
kussen|kiss
kust|shore, seashore
kwaad|angry
laars/laarzen|boot
laat ons|let us
lachen|laugh, to smile
lach|smile
lachte|smiled
laden|load
lader|loader
land|country
landen|land
lang|long
langs|along
lang|tall, long
laser|laser
last hebben met|to be in trouble with
lastig vallen|bother
laten|let
laten|let, leave
leefde|lived
leeftijd|age
leeg|blank, empty
leeuw|lion
leider|leader
leidt tot|leads to
lekker|nice, tasty
lekker|tasty
leraar|teacher
leren kennen|met
leren|learn
leren over|learned about
leren|to learn
les|lesson
lessenaar|desk
leuk|nice
leuk vinden|like
leven|life, to live
leven|live
levensreddende truc|life-saving trick
lezen|to read
lezen|to read, reading
lichtelijk|slightly
licht|light
lid|member
liefde|love
lief hebben|to love
lieve, geachte|dear
lieverd|sweethart
liever|rather
lift|lift
lijken|seem
lijst|list
limiet|limit
links|left
lip|lip
lopen|running
lossen|unload
lucht|air
luidop|aloud
luisteren|listen
luisteren|to listen
luister|listen
luistert u eens|listen here
lukken; is gelukt; het lukt mij|succeed; has succeeded; I succeed
lul|cock
Maak je geen zorgen!|Do not worry!
maandag|Monday
maand|month
maar|but
machine|machine
magazine|magazine
mager|thin, skinny
maken|make
maken|to make
mama, moeder|mom, mother
man|man
mannelijk|male
mannen|men
mantras|mattress
medisch|medical
meer|lake, more
meer|more
meisje|girl
menselijk|human
mensen|people
mensheid|humanity
metaal|metal
met de fiets rijden|go by bike, ride a bike
meteen|immediately
meteen|now
meter|meter
methode|method
met hoogachting|yours sincerely
met rust laten|to live in peace
met|with
meubilair, meubels|furniture
microfoon|microphone
midden in|in the middle of
mij|me
Mijnheer, Mr.|mister, Mr.
mijn|mine
mijn|mine, my
mijn|my
miljard|billion
Miljard|billion
miljoen|million
minder|less
minuut|minute
misschien|perhaps
moeder|mother
moedertaal|native language
moeilijk|difficult
moeilijk|difficult, hard
moeite|trouble
moeten|must
moe|tired
mogelijkheid|possibility
mogelijk|possible
mogen, kunnen|may
mok|cup
moment|moment
mond|mouth
monotoon|monotonous
mooi|beautiful
mooi|beautiful, nice
mooi|nice
moordenaar|killer
moord|murder
morgen/morgens|morning, tomorrow
morgen|tomorrow
motor|engine
mug|mosquito
muur|wall
muziek|music
na|after
na|after, past
naam|name
naar|at
naar beneden|down
naar huis gaan|go home
naar|to
nacht|night
nadien|after that
nationaliteit|nationality
natuurlijk|of course
natuur|nature
nat|wet
Nederland|The Netherlands
nee|no
neerzitten|sit down
negende|ninth
negen|nine
negentien|nineteen
negentig|ninety
nemen|take
nemen|take, took
nemen|to take
nergens|nowhere
neus|nose
niemand, niemand anders|no-one, no-one else
niemand|nobody
niet mogen|must not
niet|not
niets|nothing
niet zo|not as
nieuw|new
nieuwsgierig|inquisitive, curious
nodig hebben|need
nodig hebben|to need
nog een|another
nog een|one more
nog iets|something else
nog|still
nog|still, yet
nooit|never
notitieboeken|notebooks
notitieboek|notebook
notitie|note
Nou!|Well!
nu, meteen|now
nummer|number
nu|now
ochtend|morning
octend|morning
of|or
ogenblik|moment
ogen|eyes
okay, goed|okay, well
okee|okay
olie|oil
om|around (a particular time); round
omdat|because
om enn uur|at one o'clock
omgeving, nabijgelegen|nearness
om op te passen|to adjust
onderstrepen|underline
ondertussen|meanwhile
onder|under
ongelukkig|unhappy
ongeval|accident
ongeveer|about
onhandig|clumsy
onlangs|recently
onmiddellijk|immediately
onrechtvaardig|unfair
onredelijk|unreasonable
ons, onze|our
ons|us
ontbijt|breakfast
ontbijten|have breakfast
ontbijten|to have breakfast
ontharen|to remove hair
ontmoeten|meet
ontvoering|kidnapping
ontwerp|composition
ontwerpen|compose
ontwikkelen|develop
ontzeggen|to deny
onzettend|aweful, awefully
oog|eye
ook|also
ook|as well
ook|as well, either, too also
ook nog|as well
ook|too
ook|too, also
oor|ear
oorlog|war
op bezoek|on a visit
opeens|suddenly
openen|open
opleiding|education
oplossing|solution
oplossing|solution, answer
opnemen|record
opnieuw|again
op|on
op|on, in
oppasoma|babysitting
oppast|careful
opsgeven|give up
opstaan|get up
opvullen|fill up
opwarmen|warm up
oudere|elder
ouder|parent
over|about, on, over, in
overeenkomst|agreement
overigens|by the way
over|over
overval, inbraak|robbery
paar|pair
pak|suit
paniek|panic
panikeren|to panic
papier|paper
parachute|parachute
parachutist|parachutist
pardon|excuse me
parken|parks
park|park
pas in|not until
passend|suitable
patrouille|patrol
pauze|break, pause
pennen|pens
pen|pen
personeelsafdeling|personnel department
persoonlijk|personal
persoon|person
per uur|hourly
per uur|per hour
piloot|pilot
pil|pill
plaats|place
planeet|planet
plannen|to plan
plan|plan
plein|square
poes|pussycat
Polen|Poland
politieagent|officer, policeman
politie|police
poot|paw
pop|doll
positie|position
prachtig|splendid
prachtig|wonderful
praten|to speak
prijs|price
probeerde|tried
proberen|try
probleem|problem
produceren|produce
programma|program
programmeur|programmer
publiceren|publishing
publiek|audience
puppy|puppy
raadsel|mystery
raam|window
radar|radar
radio|radio
rapporteren|report
rat|rat
rechts|right
redden|rescue, save
reddingsdienst|rescue service
reden|reason
regel|rule
regen|rain
reizen|travel
rem|brake
remmen|to brake
rennen, lopen|to run
rennen|run
reporter|reporter
reuzegezellig|great fun
ricochet|ricochet
rijbewijs|driving license
rijden|drive, drove
rijk|rich
rij|queue
roepen|called
rok|skirt
rollen|pitch
rondkijken|look around
rond|round
rood|red
rubber|rubber
rubriek|rubric
ruimteschip|spaceship
ruimte|space
rustig|quiet, peaceful
rust|rest
rust|rest, peace
saai|dull, boring
samen|together
's avonds|in the evening
schatten|estimate
schilderen|paint
schip|ship
school|school
schoon|clean
schoongemaakt|cleaned
schoonmaken|clean
schot|shot
schreef|wrote
schrijven|to write
schrijven|write
schrijver|writer
schudden|shake
schudde|shook
secretaresse|secretary
seizoen|season
sergeant|sergeant
serie|serial
simpel|simple
sinds|since (temporal)
single|single
sirene|siren
situatie|situation
sjaal, sjaals|scarf
slaan|hit, beat
slaapzaal, studentenwoning|dorms
slagen voor een test|to pass a test
slapen|sleep, sleeping
slecht|bad
sleutel|key
slikken|swallow
slim|clever, smart
sluw|sly, slyly
's nachts|at night
snack|snack
snelheidsovertreder|speeder
snelheid|speed
snel|quick, quickly
solliciteren|apply
soms|sometimes
soort|kind, type
sorry|sorry
Spaans|Spanish
spaniel|spaniel
spannend|exciting
speciaal|especially
speech|speech
speelgoed|toy
spelen|play
spelen|play, playing
spelen|to play
spijt hebben|be sorry
spoedig|soon
sportfiets|sport bike
sport|sport
sportwinkel|sport shop
spreiden|spread
spreken|speak, talk
spreken|to speak
springen|jump
staan|stand
staart|tail
staat|status
stadcentrum|city center
stad|city
stad|city, town
stadscentrum|city centre
stad/steden|city
standaard|standard
Sta op!|Get up!
stapel|pile
stappen|to step
stap|step
stapte|stepped
starten|start, started (to drive)
stations/stations|station
steen|stone
stelde|suggested
stelen|steal
stem|voice
sterk|strong, strongly
sterkte|strength
ster|star
sterven|die
stierf|died
stil|quietly, silent, silently
stinkend|stinking
stoel|chair
stoppen|stop
stoppen|to put
straat|road, street
straat|street
straten|streets
stroom|current
studentenhuis|dorms
studenten|students
student|student
studeren|study
sturen|steer
sturen|to send
supermarkt|supermarket
super, tof|great
taai|tough
taak|task
taal|language
tachtig|eighty
tafels|tables
tafel|table
tanker|tanker
tas|bag
taxichauffeur|taxi driver
taxi|taxi
team|team
teen|toe
tegelijkertijd|at the same time
tegen|against
tegenwoordig|nowadays
tekst|text
telefoneren|call on the phone, to telephone
telefoneren|to phone
telefoon/telefoons|phone
telefoon|telephone
televisie/televisies|television
televisie|television, TV-set
tellen|to count
tenminste|at least
terug|back
terwijl|while
te snel rijden|to speed
testen|to test
test|test
te|too
te voet|on foot
thee|tea
thuis, naar huis|home
ticket|ticket
tiende|tenth
tien|ten
tijd|time
tijger|tiger
toch|yet
toch|yet, still
toekomst|future
toen|then, at that time
toetje|pudding
toetsenbord|keyboard
tof|fun
toilet|toilet
tonen|show
toonde|showed
tot|until
tot ziens|goodbye
traag|slowly
trainen|train
transport|transport
trappen|stairs
treinstation|railway station
trein|train
trek hebben in|to feel like
trekken|pull
treurig|sad
truck|truck
truc|trick
tuin|garden, yard
tussen|between
twaalf|twelve
tweede naam|middle name
tweede|second
tweemaal|twice
twee|two
twintig|twenty
uit de VS|from the USA
uitdoen|turn off
uiteindelijk|at last
uit|from
uitgeven|spend
uitgever|editor
uitleggen|explain
uitstapje|outing, trip
uitstappen|get off
uitzendbureau|job agency
uitzicht|view
universiteit|college
uur|hour
uur|hour, o'clock
vaak|often
vader|dad
vader|dad, daddy
vakboeken|textbook
val|fall
vallend|falling
vallen|fall
vallen|fallen, to fall
vandaag|today
vangen|catch
vanochtend|this morning
van|of
van|of, from
van pas|apropos
van, uit|from
vastmaken|fasten
veel|many
veel|many, much
veel|much, many, a lot
veel ondervraagde|much questioned
veel, vele|lot, much, many
veel, vele|much, many
veel werk hebben|have a lot of work
veelzijdig|all
veertien|fourteen
veertig|fourty
veiligheid|safety
veld|field
vensters|windows
venster|window
veranderen|to change
verandering|change
verarmen|to impoverish
verder|further
verder kijken|continued to watch
verdienen|earn
verdoen|to waste
verdomme|damn
verdunnen|to make thinner
verenigen|join
ver|far
vergelden|to repay
vergeten|forget
verhaal|story
verhuizen|to move house
verklaart wel|does explain
verkopen|sell
verkoper, verkoopster|shop assistant
verlaten|leave
verleden|past
verliezen|loose
vermageren|to lose weight
vernietigen|destroy
vernietigen|to destroy
verontschuldigen|excuse
verrassen|to surprise
verrassing|surprise
verrast|surprised
verrijken|to enrich
verschillend|different
verschrikkelijk|terrible
versleten|down at heel, worn out
verstedelijking|urbanization
verstoppen|hide
verstopper|hide-and-seek
verstopt|hid
vertaler|translator
vertellen|say, tell
vertrekken|depart
vervelend|annoying
verward|confused
verwerken|to process
videotheek|video-shop
viel|fell
vierde|fourth
vierenveertig|fourty-four
vier|four
vijfde|fifth
vijfentwintig|twenty-five
vijf|five
vijftien|fifteen
vijvtien|fifteen
vijvtig|fifty
vinden|find
vliegtuig|airplane
vloeiend|fluently
vloeien|flow
vloer|floor
vloerkleed|carpet
vloog weg|flew away
voederen|feed
voedsel|food
voet|foot
vogel|bird
vol|full
volgens|according to
vooral|especially
voorbeeld|example
voor|before, for
voorbereiden|prepare
voordat|before
voor|for
voorste|front
voortduren|continue
voorwielen|front wheels
voorzichtig|careful, carefully
vragen|ask
vragenlijst|questionnaire
vragen|to ask
vreemd|strange
vreselijk|terrible
vriendelijk|friendly
vriend|friend
vriend|friend, boyfriend
vriendin|girlfriend
vrije tijd|free time
vrij|free
vrij|free, quite
vrouwelijk|female
vrouw|woman
VS|USA
vuil|dirty
vuur|fire
waarom|why
waar|where
waar|where, true
wachten|wait
wachte|waited
wakker|awake
wakker blijven|stay awake
wakker houden|keep awake
walvis|whale, orka
wandelen|walk, walking
wanneer|when
wanneer|when, whenever want for, because
want|because, for
waren|were
warm|warm
Was is er aan de hand?|What is the matter?
wasmachine|washer
wassen|to wash
wassen|wash
was|was
water|water
wat, welke|what
wat|what
website|website
weekeinde, weekeindes|weekend
week|week
weer|weather
wees aan|pointed
weggaan|go away
weggaan|to leave, to go away
weg gaan|went away
weg|gone, away
weglopen|run away
weg|road, way; away, gone
we hebben wel|we do have
weigeren|refuse
weinig|few
wekgever|employer
Welke tafel?|Which table?
welke|which
wel nee|oh no
wereld|world
werkelijk|really
werkend|working
werken|to work
werk|work
weten|know
weten|to know
wet|law
What is dat?|What is this?
wiel|wheel
wiens|whose
wie|who
wijd|wide, widely
wij|we
willen|to want
willen|want
willen|will, want
wind|wind
winkelcentrum|shopping center
winkel|shop
winkels|shops
wist|knew
wit|white
woedend|angrily
wonen|to live
woonkamer|living room
woordenschat|vocabulary
woorden|words
woord|word
worden|to become
wordt vervolgd|to be continued
wrijven|rub
zaad|seed
zaak|business
zacht|soft
zag|saw
zak|bag, pocket
zand|sand
zanger|singer
zaterdag|Saturday
zebra|zebra
zeer|very
zee|sea
zeggen|tell, say
zeggen|to say
zei|said
zeker|sure
zelden|rarely
zeldzaam|seldom
zelf|itself, myself
zelf|self
zesde|sixth
zes|six
zestien|sizteen
zestig|sixty
zetel|seat
zetten|to put
zeuren|whine, go on
zevende|seventh
zeven|seven
zeventien|seventeen
zeventig|seventy
zich schamen|be ashamed
zien|to see
zijn bed|his bed
zijn|his
zijn|its (for neuter)
zijn ogen niet geloven|to not believe one's eyes
zijn|to be
zij|she, they
zij|they
zingen|sing
zin|phrase
zitten|sit
zitten|to sit
zoals|as
(zo)als|like, as
zoeken|look for
zoet|sweet, good
zonder een woord, zonder to spreken|without a word
zonder|without
zoon|son
zorg|care
zorgen|worry
zo|so
zo vaak als mogelijk|as often as possible
zuining|frugal
zus|sister
zwaar|heavy
zwart|black
zwemmen|swim
